"time_period","time_identifier","geographic_level","country_code","country_name","version","characteristic_type","characteristic_value","subjects","KS2_Prior","num_U","num_1","num_2","num_3","num_4","num_5","num_6","num_7","num_8","num_9","num_X","num_covid_impacted","all_grades","perc_1","perc_2","perc_3","perc_4","perc_5","perc_6","perc_7","perc_8","perc_9","perc_U","perc_X","per_covid_impacted"
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Business","80 - 89.5",52,177,162,112,29,14,8,2,2,0,16,1,575,30.8,28.2,19.5,5,2.4,1.4,0.3,0.3,0,9,2.8,0.2
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Business","90 - 95.5",61,270,494,546,266,169,98,26,8,1,47,15,2001,13.5,24.7,27.3,13.3,8.4,4.9,1.3,0.4,0,3,2.3,0.7
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Business","96 - 99.5",29,261,569,910,700,559,329,118,41,16,45,36,3613,7.2,15.7,25.2,19.4,15.5,9.1,3.3,1.1,0.4,0.8,1.2,1
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Business","100 - 102",28,143,422,866,837,834,571,241,121,31,38,26,4158,3.4,10.1,20.8,20.1,20.1,13.7,5.8,2.9,0.7,0.7,0.9,0.6
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Business","102.5 - 104.5",28,120,356,814,994,1153,1000,518,269,116,45,54,5467,2.2,6.5,14.9,18.2,21.1,18.3,9.5,4.9,2.1,0.5,0.8,1
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Business","105 - 107",23,89,256,627,844,1234,1329,868,513,262,38,53,6136,1.5,4.2,10.2,13.8,20.1,21.7,14.1,8.4,4.3,0.4,0.6,0.9
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Business","107.5 - 109.5",4,36,116,319,529,922,1189,955,719,469,30,42,5330,0.7,2.2,6,9.9,17.3,22.3,17.9,13.5,8.8,0.1,0.6,0.8
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Business","110 - 113",1,18,65,148,308,640,1044,1094,1096,971,8,43,5436,0.3,1.2,2.7,5.7,11.8,19.2,20.1,20.2,17.9,0,0.1,0.8
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Business","113.5 - 116.5",1,1,11,30,55,156,351,528,595,830,7,31,2596,0,0.4,1.2,2.1,6,13.5,20.3,22.9,32,0,0.3,1.2
202122,"Academic year","National","E92000001","England","Revised","Gender","Female Pupils","Business","117 - 120",0,0,0,1,9,10,57,97,173,437,2,3,789,0,0,0.1,1.1,1.3,7.2,12.3,21.9,55.4,0,0.3,0.4
